詞彙,出現次數
用問,2
答題,2
回答,2
出不一樣,2
稍微,2
給他們,2
開放性,2
並帶,2
並養成,2
有美國,2
撫平,2
得國,2
掌握,2
便是,2
其實並,2
無聊,2
課是,2
人數,2
延後上學,2
預防,2
實務上,2
一年期,2
節數,2
同一,2
作業量,2
搭配,2
擴大,2
極端,2
調晚,2
回來,2
不該,2
不上,2
沒用,2
涉及,2
只想,2
還想,2
期望,2
根源,2
培訓,2
乾脆,2
認真覺,2
自願,2
就業,2
譬如,2
一開始,2
邏輯,2
變相,2
針對,2
學單,2
車程,2
起跳,2
確實累,2
捷運上,2
在此之前,2
家快,2
這確實,2
可否,2
我認,2
週五,2
取而代之,2
假期,2
這已,2
經是,2
何嘗,2
實施後會,2
什麼後果,2
極少,2
打算,2
一時,2
興起,2
但要,2
層面,2
深思,2
熟慮,2
這又何,2
決斷,2
盲目,2
隨的,2
建設,2
成性,2
是屬,2
列入,2
志向,2
潛能,2
孩童,2
完課,2
講解,2
職場,2
抗壓性,2
更大,2
搞不好,2
何必,2
成正比,2
正規,2
得出,2
得讀,2
僅四到,2
也經,2
常有,2
睡著,2
能醒,2
對國,2
可有,2
舉證,2
台灣國,2
6.9,2
應為,2
1.1,2
這份,2
需應付,2
五年,2
前會少,2
沒體力,2
折衷,2
面來,2
言論,2
負責,2
提案人,2
態度,2
確切,2
比例,2
功能,2
短期,2
但此,2
何時,2
受限,2
不當,2
改動,2
單調,2
期末,2
程老,2
滿足,2
年前,2
假如,2
看齊,2
不成,2
拔掉,2
外語,2
學測會,2
減上,2
課內容,2
告訴,2
碰到,2
社會科,2
課排,2
鐘有,2
討論問,2
好奇,2
有料,2
的還,2
參加個,2
科展,2
叛逆,2
偏要,2
主流,2
觀去,2
理科,2
落魄,2
前連,2
熱愛的,2
保有,2
會覺,2
同樣,2
說過,2
空洞,2
想像,2
死去,2
出生,2
單純縮,2
增進,2
選課,2
腦部,2
打卡,2
人來,2
最終,2
回歸,2
速度,2
發現,2
嚴格,2
覺得現,2
學生過,2
一味,2
理性,2
這其實,2
那種,2
現狀,2
依賴,2
考試導,2
分散,2
著重,2
台灣長,2
視為,2
給家長,2
投資,2
批判,2
非僅,2
遠要,2
但學校,2
團體,2
課之類,2
共同,2
不合理,2
課程會,2
除掉,2
台北,2
週六課,2
一周,2
台灣現,2
課後活動,2
早放,2
不開,2
起到,2
不來,2
實力,2
遵守,2
規則,2
眼中,2
把國,2
往後延,2
我建議,2
受夠,2
節輔,2
外面,2
縮短國,2
點補習,2
可惜,2
